date,playoffs,home,away,score_home,score_away,pi_home,oi_home,pi_away,oi_away
2022-10-18,False,bos,phi,126,117,0.5882115462252726,1.6451612903225805,0.4117884537747274,2.35
2022-10-18,False,gs,lal,123,109,0.7313237221494101,1.3225806451612903,0.2686762778505899,3.6
2022-10-19,False,ind,wsh,107,114,0.447405997144217,2.15,0.552594002855783,1.7407407407407407
2022-10-19,False,det,orl,113,109,0.6187175043327556,1.5714285714285714,0.38128249566724437,2.55
2022-10-19,False,mem,ny,115,112,0.6323766526926797,1.5405405405405406,0.36762334730732027,2.65
2022-10-19,False,bkn,no,108,130,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-10-19,False,tor,cle,108,105,0.5711159737417943,1.6896551724137931,0.42888402625820565,2.25
2022-10-19,False,atl,hou,117,107,0.8064516129032258,1.2,0.19354838709677424,5.0
2022-10-19,False,mia,chi,108,116,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2022-10-19,False,sa,cha,102,129,0.4782608695652174,2.0,0.5217391304347826,1.8333333333333335
2022-10-19,False,min,okc,115,108,0.8328690807799444,1.1538461538461537,0.16713091922005563,5.75
2022-10-19,False,utah,den,123,102,0.3020134228187919,3.2,0.6979865771812082,1.3846153846153846
2022-10-19,False,phx,dal,107,105,0.6256684491978609,1.5555555555555556,0.3743315508021391,2.6
2022-10-19,False,sac,por,108,115,0.5962732919254659,1.625,0.40372670807453415,2.4
2022-10-20,False,phi,mil,88,90,0.6187175043327556,1.5714285714285714,0.38128249566724437,2.55
2022-10-20,False,lal,lac,97,103,0.361145703611457,2.7,0.6388542963885431,1.526315789473684
2022-10-21,False,wsh,chi,102,100,0.5427435387673957,1.7692307692307692,0.4572564612326043,2.1
2022-10-21,False,ind,sa,134,137,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-10-21,False,cha,no,112,124,0.31111111111111106,3.1,0.6888888888888889,1.4
2022-10-21,False,bkn,tor,109,105,0.5620437956204379,1.7142857142857144,0.43795620437956206,2.2
2022-10-21,False,mia,bos,104,111,0.447405997144217,2.15,0.552594002855783,1.7407407407407407
2022-10-21,False,ny,det,130,106,0.7023445463812437,1.3773584905660377,0.29765545361875634,3.25
2022-10-21,False,atl,orl,108,98,0.7747747747747749,1.25,0.22522522522522515,4.3
2022-10-21,False,hou,mem,122,129,0.2934179222839017,3.3,0.7065820777160983,1.3703703703703702
2022-10-21,False,min,utah,126,132,0.7355163727959698,1.3125,0.2644836272040302,3.65
2022-10-21,False,gs,den,123,128,0.6727813584531482,1.434782608695652,0.32721864154685176,2.95
2022-10-21,False,por,phx,113,111,0.35294117647058826,2.75,0.6470588235294117,1.5
2022-10-22,False,phi,sa,105,114,0.88,1.0909090909090908,0.12,8.0
2022-10-22,False,ind,det,124,115,0.5,1.9090909090909092,0.5,1.9090909090909092
