Month_Day,Home_Team,Away_Team,Home_Team_Wins,Home_FG,Home_FGA,Home_FG%,Home_3P,Home_3PA,Home_3P%,Home_2P,Home_2PA,Home_2P%,Home_FT,Home_FTA,Home_FT%,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PTS,Home_Season_W,Home_Season_L,Home_Season_Win_Pct,Home_Season_PTS_PG,Home_Season_Opp_PTS_PG,Home_ORtg,Home_DRtg,Home_NRtg,Home_Pace,Home_Eff_FG%,Home_True_Shooting_Pct,Away_Opp_FG,Away_Opp_FGA,Away_Opp_FG%,Away_Opp_3P,Away_Opp_3PA,Away_Opp_3P%,Away_Opp_2P,Away_Opp_2PA,Away_Opp_2P%,Away_Opp_FT,Away_Opp_FTA,Away_Opp_FT%,Away_Opp_ORB,Away_Opp_DRB,Away_Opp_TRB,Away_Opp_AST,Away_Opp_STL,Away_Opp_BLK,Away_Opp_TOV,Away_Opp_PTS,Away_Season_W,Away_Season_L,Away_Season_Win_Pct,Away_Season_PTS_PG,Away_Season_Opp_PTS_PG,Away_ORtg,Away_DRtg,Away_NRtg,Away_Pace,Away_Eff_FG%,Away_True_Shooting_Pct,Home_Season_Point_Diff,Away_Season_Point_Diff,Home_Offensive_Advantage,Away_Defensive_Advantage,Pace_Diff
"Mon,-Nov",San Antonio Spurs,Phoenix Suns,1,43.2,92.7,0.467,11.3,32.0,0.352,32.0,60.7,0.527,15.4,20.4,0.754,11.0,34.3,45.3,27.9,7.6,4.9,12.7,113.2,34,48,0.415,113.2,113.0,112.4,112.3,0.1,100.0,0.527,0.556,39.2,88.3,0.444,11.6,34.2,0.34,27.6,54.1,0.51,17.3,22.7,0.761,10.5,33.9,44.5,22.9,7.5,4.0,14.7,107.3,64,18,0.78,114.8,107.3,114.8,107.3,7.5,99.8,0.549,0.581,0.2000000000000028,7.5,5.1000000000000085,-5.1000000000000085,0.2000000000000028
"Mon,-Nov",Utah Jazz,Memphis Grizzlies,1,40.6,86.2,0.471,14.5,40.3,0.36,26.0,45.8,0.568,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14.0,113.6,49,33,0.598,113.6,107.6,116.7,110.5,6.2,97.1,0.555,0.589,40.3,88.6,0.455,12.0,34.5,0.349,28.3,54.2,0.522,17.3,22.4,0.771,10.0,33.0,43.0,25.0,7.2,6.0,15.1,109.9,56,26,0.683,115.6,109.9,114.6,109.0,5.6,100.3,0.522,0.553,6.0,5.699999999999989,7.700000000000003,-7.700000000000003,-3.200000000000003
"Mon,-Nov",Sacramento Kings,Philadelphia 76ers,1,40.5,88.1,0.46,11.4,33.2,0.344,29.1,54.9,0.53,17.9,23.3,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,110.3,30,52,0.366,110.3,115.8,109.9,115.3,-5.4,99.8,0.525,0.561,39.7,86.5,0.458,11.4,32.8,0.346,28.3,53.7,0.527,16.6,21.6,0.769,10.2,34.0,44.2,23.6,6.6,4.6,13.3,107.3,51,31,0.622,109.9,107.3,113.5,110.8,2.7,96.2,0.534,0.578,-5.5,2.6000000000000085,-0.8999999999999915,0.8999999999999915,3.5999999999999943
"Tue,-Nov",Detroit Pistons,Miami Heat,1,38.2,88.6,0.431,11.3,34.6,0.326,26.9,54.0,0.498,17.2,22.0,0.782,11.0,32.0,43.0,23.5,7.7,4.8,14.2,104.8,23,59,0.28,104.8,112.5,106.0,113.8,-7.8,98.4,0.494,0.533,37.5,84.0,0.447,13.0,38.3,0.339,24.6,45.7,0.537,17.5,22.5,0.779,9.5,32.1,41.7,23.3,7.4,4.0,15.0,105.6,53,29,0.646,110.0,105.6,113.7,109.1,4.6,95.9,0.547,0.584,-7.700000000000003,4.400000000000006,-3.0999999999999943,3.0999999999999943,2.5
"Tue,-Nov",New York Knicks,Los Angeles Lakers,0,37.7,86.2,0.437,13.2,36.9,0.357,24.5,49.3,0.497,18.0,24.1,0.744,11.5,34.6,46.1,21.9,7.0,4.9,13.3,106.5,37,45,0.451,106.5,106.6,110.4,110.5,-0.1,95.9,0.513,0.55,42.6,90.5,0.47,12.6,35.8,0.352,30.0,54.7,0.548,17.4,23.3,0.747,11.0,35.6,46.6,26.3,8.3,4.1,14.0,115.1,33,49,0.402,112.1,115.1,110.3,113.3,-3.0,100.1,0.537,0.567,-0.0999999999999943,-3.0,-2.8999999999999915,2.8999999999999915,-4.199999999999989
"Tue,-Nov",Portland Trail Blazers,Denver Nuggets,0,38.5,87.1,0.442,12.7,36.8,0.346,25.8,50.3,0.513,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8.0,4.5,14.5,106.2,27,55,0.329,106.2,115.1,107.8,116.9,-9.1,98.3,0.515,0.55,41.1,87.4,0.47,11.8,34.2,0.346,29.2,53.2,0.549,16.5,21.7,0.757,9.7,32.7,42.4,25.4,7.9,4.8,12.8,110.4,48,34,0.585,112.7,110.4,114.5,112.1,2.4,97.8,0.556,0.59,-8.899999999999991,2.299999999999997,-4.299999999999997,4.299999999999997,0.5
"Tue,-Nov",Los Angeles Clippers,Dallas Mavericks,1,40.1,87.4,0.458,12.8,34.2,0.374,27.3,53.3,0.512,15.5,19.6,0.793,9.1,34.9,44.0,24.0,7.4,5.0,13.7,108.4,42,40,0.512,108.4,108.4,110.1,110.1,0.0,98.0,0.531,0.564,39.0,85.4,0.457,10.9,32.1,0.34,28.1,53.2,0.527,15.8,20.6,0.767,9.5,34.1,43.6,23.5,7.0,3.7,13.1,104.7,52,30,0.634,108.0,104.7,112.8,109.4,3.4,95.4,0.538,0.572,0.0,3.299999999999997,0.6999999999999886,-0.6999999999999886,2.5999999999999943
"Wed,-Nov",Cleveland Cavaliers,Phoenix Suns,1,39.7,84.6,0.469,11.6,32.8,0.355,28.1,51.9,0.541,16.8,22.1,0.76,10.2,34.0,44.2,25.2,7.1,4.2,14.4,107.8,44,38,0.537,107.8,105.7,111.9,109.7,2.2,96.1,0.538,0.571,39.2,88.3,0.444,11.6,34.2,0.34,27.6,54.1,0.51,17.3,22.7,0.761,10.5,33.9,44.5,22.9,7.5,4.0,14.7,107.3,64,18,0.78,114.8,107.3,114.8,107.3,7.5,99.8,0.549,0.581,2.0999999999999943,7.5,4.6000000000000085,-4.6000000000000085,-3.700000000000003
"Wed,-Nov",Indiana Pacers,Los Angeles Lakers,1,41.4,89.5,0.463,12.2,35.4,0.344,29.3,54.1,0.541,16.4,21.4,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,111.5,25,57,0.305,111.5,114.9,112.6,116.1,-3.5,98.0,0.531,0.564,42.6,90.5,0.47,12.6,35.8,0.352,30.0,54.7,0.548,17.4,23.3,0.747,11.0,35.6,46.6,26.3,8.3,4.1,14.0,115.1,33,49,0.402,112.1,115.1,110.3,113.3,-3.0,100.1,0.537,0.567,-3.4000000000000057,-3.0,-0.7000000000000028,0.7000000000000028,-2.0999999999999943
"Wed,-Nov",Orlando Magic,Charlotte Hornets,1,38.3,88.3,0.434,12.2,36.9,0.331,26.1,51.4,0.507,15.5,19.7,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,104.2,22,60,0.268,104.2,112.2,104.5,112.5,-8.0,99.2,0.503,0.538,42.0,90.1,0.466,14.0,38.7,0.362,28.0,51.4,0.544,16.9,22.1,0.763,11.4,35.6,47.0,26.5,7.5,4.6,15.0,114.9,43,39,0.524,115.3,114.9,114.1,113.7,0.4,100.0,0.544,0.572,-8.0,0.3999999999999915,-9.200000000000005,9.200000000000005,-0.7999999999999972
