date,home,away,pi_home,oi_home,pi_away,oi_away
2022-10-18,bos,phi,0.5882115462252726,1.6451612903225805,0.4117884537747274,2.35
2022-10-18,gs,lal,0.7313237221494101,1.3225806451612903,0.2686762778505899,3.6
2022-10-19,ind,wsh,0.447405997144217,2.15,0.552594002855783,1.7407407407407407
2022-10-19,det,orl,0.6187175043327556,1.5714285714285714,0.38128249566724437,2.55
2022-10-19,mem,ny,0.6323766526926797,1.5405405405405406,0.36762334730732027,2.65
2022-10-19,bkn,no,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-10-19,tor,cle,0.5711159737417943,1.6896551724137931,0.42888402625820565,2.25
2022-10-19,atl,hou,0.8064516129032258,1.2,0.19354838709677424,5.0
2022-10-19,mia,chi,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2022-10-19,sa,cha,0.4782608695652174,2.0,0.5217391304347826,1.8333333333333335
2022-10-19,min,okc,0.8328690807799444,1.1538461538461537,0.16713091922005563,5.75
2022-10-19,utah,den,0.3020134228187919,3.2,0.6979865771812082,1.3846153846153846
2022-10-19,phx,dal,0.6256684491978609,1.5555555555555556,0.3743315508021391,2.6
2022-10-19,sac,por,0.5962732919254659,1.625,0.40372670807453415,2.4
2022-10-20,phi,mil,0.6187175043327556,1.5714285714285714,0.38128249566724437,2.55
2022-10-20,lal,lac,0.361145703611457,2.7,0.6388542963885431,1.526315789473684
2022-10-21,wsh,chi,0.5427435387673957,1.7692307692307692,0.4572564612326043,2.1
2022-10-21,ind,sa,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-10-21,cha,no,0.31111111111111106,3.1,0.6888888888888889,1.4
2022-10-21,bkn,tor,0.5620437956204379,1.7142857142857144,0.43795620437956206,2.2
2022-10-21,mia,bos,0.447405997144217,2.15,0.552594002855783,1.7407407407407407
2022-10-21,ny,det,0.7023445463812437,1.3773584905660377,0.29765545361875634,3.25
2022-10-21,atl,orl,0.7747747747747749,1.25,0.22522522522522515,4.3
2022-10-21,hou,mem,0.2934179222839017,3.3,0.7065820777160983,1.3703703703703702
2022-10-21,min,utah,0.7355163727959698,1.3125,0.2644836272040302,3.65
2022-10-21,gs,den,0.6727813584531482,1.434782608695652,0.32721864154685176,2.95
2022-10-21,por,phx,0.35294117647058826,2.75,0.6470588235294117,1.5
2022-10-22,phi,sa,0.88,1.0909090909090908,0.12,8.0
2022-10-22,ind,det,0.5,1.9090909090909092,0.5,1.9090909090909092
2022-10-22,orl,bos,0.24210526315789477,4.0,0.7578947368421052,1.2777777777777777
2022-10-22,mia,tor,0.5962732919254659,1.625,0.40372670807453415,2.4
2022-10-22,chi,cle,0.4675324675324676,2.05,0.5324675324675324,1.8
2022-10-22,mil,hou,0.8720930232558138,1.1,0.12790697674418616,7.5
2022-10-22,dal,mem,0.638854296388543,1.526315789473684,0.36114570361145704,2.7
2022-10-22,den,okc,0.7747747747747749,1.25,0.22522522522522515,4.3
2022-10-22,sac,lac,0.43795620437956206,2.2,0.5620437956204379,1.7142857142857144
2022-10-23,lal,por,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
2022-10-23,atl,cha,0.8064516129032258,1.2,0.19354838709677424,5.0
2022-10-23,no,utah,0.745958429561201,1.2941176470588236,0.25404157043879905,3.8
2022-10-23,cle,wsh,0.6187175043327556,1.5714285714285714,0.38128249566724437,2.55
2022-10-23,okc,min,0.2157676348547718,4.5,0.7842323651452282,1.2380952380952381
2022-10-23,gs,sac,0.8064516129032258,1.2,0.19354838709677424,5.0
2022-10-23,lac,phx,0.4572564612326044,2.1,0.5427435387673956,1.7692307692307692
2022-10-24,phi,ind,0.8524590163934427,1.125,0.14754098360655732,6.5
2022-10-24,ny,orl,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2022-10-24,mia,tor,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
2022-10-24,min,sa,0.7578947368421054,1.2777777777777777,0.2421052631578946,4.0
2022-10-24,mem,bkn,0.5217391304347826,1.8333333333333335,0.4782608695652174,2.0
2022-10-24,chi,bos,0.3452115812917595,2.8,0.6547884187082404,1.4761904761904763
2022-10-24,hou,utah,0.447405997144217,2.15,0.552594002855783,1.7407407407407407
2022-10-24,por,den,0.33402922755741127,2.9,0.6659707724425887,1.4545454545454546
2022-10-25,wsh,det,0.6659707724425887,1.4545454545454546,0.33402922755741127,2.9
2022-10-25,no,dal,0.3452115812917595,2.8,0.6547884187082404,1.4761904761904763
2022-10-25,okc,lac,0.33402922755741127,2.9,0.6659707724425887,1.4545454545454546
2022-10-25,phx,gs,0.5217391304347826,1.8333333333333335,0.4782608695652174,2.0
2022-10-26,cle,orl,0.7718277066356227,1.2564102564102564,0.22817229336437728,4.25
2022-10-26,det,atl,0.27586206896551724,3.5,0.7241379310344828,1.3333333333333333
2022-10-26,ny,cha,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2022-10-26,mil,bkn,0.5962732919254659,1.625,0.40372670807453415,2.4
2022-10-26,tor,phi,0.5108342361863489,1.8695652173913042,0.48916576381365107,1.9523809523809523
2022-10-26,min,sa,0.7953488372093023,1.2222222222222223,0.20465116279069773,4.75
2022-10-26,chi,ind,0.7147147147147147,1.3571428571428572,0.2852852852852853,3.4
2022-10-26,utah,hou,0.7578947368421054,1.2777777777777777,0.2421052631578946,4.0
2022-10-26,por,mia,0.43795620437956206,2.2,0.5620437956204379,1.7142857142857144
2022-10-26,den,lal,0.6470588235294118,1.5,0.3529411764705882,2.75
