date,playoffs,home,away,score_home,score_away,pi_home,oi_home,pi_away,oi_away
2023-01-01,False,mem,sac,118,108,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
2023-01-01,False,mil,wsh,95,118,0.552594002855783,1.7407407407407407,0.447405997144217,2.15
2023-01-02,False,ny,phx,102,83,0.5620437956204379,1.7142857142857144,0.43795620437956206,2.2
2023-01-02,False,cha,lal,115,121,0.5427435387673957,1.7692307692307692,0.4572564612326043,2.1
2023-01-02,False,ind,tor,122,114,0.4572564612326044,2.1,0.5427435387673956,1.7692307692307692
2023-01-02,False,phi,no,120,111,0.6604688763136621,1.4651162790697674,0.33953112368633787,2.85
2023-01-02,False,cle,chi,145,134,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
2023-01-02,False,bkn,sa,139,103,0.8524590163934427,1.125,0.14754098360655732,6.5
2023-01-02,False,min,den,124,111,0.38848920863309355,2.5,0.6115107913669064,1.5882352941176472
2023-01-02,False,hou,dal,106,111,0.27586206896551724,3.5,0.7241379310344828,1.3333333333333333
2023-01-02,False,por,det,135,106,0.7842323651452283,1.2380952380952381,0.21576763485477168,4.5
2023-01-02,False,gs,atl,143,141,0.5324675324675325,1.8,0.46753246753246747,2.05
2023-01-02,False,lac,mia,100,110,0.4891657638136511,1.9523809523809523,0.5108342361863489,1.8695652173913042
2023-01-03,False,mil,wsh,123,113,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2023-01-03,False,okc,bos,150,117,0.17500000000000002,5.5,0.825,1.1666666666666667
2023-01-03,False,utah,sac,115,117,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2023-01-04,False,cle,phx,90,88,0.6470588235294118,1.5,0.3529411764705882,2.75
2023-01-04,False,phi,ind,129,126,0.6470588235294118,1.5,0.3529411764705882,2.75
2023-01-04,False,orl,okc,126,115,0.4782608695652174,2.0,0.5217391304347826,1.8333333333333335
2023-01-04,False,cha,mem,107,131,0.2852852852852853,3.4,0.7147147147147147,1.3571428571428572
2023-01-04,False,ny,sa,117,114,0.7842323651452283,1.2380952380952381,0.21576763485477168,4.5
2023-01-04,False,tor,mil,101,104,0.6547884187082406,1.4761904761904763,0.34521158129175944,2.8
2023-01-04,False,chi,bkn,121,112,0.361145703611457,2.7,0.6388542963885431,1.526315789473684
2023-01-04,False,min,por,113,106,0.4675324675324676,2.05,0.5324675324675324,1.8
2023-01-04,False,no,hou,119,108,0.7023445463812437,1.3773584905660377,0.29765545361875634,3.25
2023-01-04,False,sac,atl,117,120,0.5324675324675325,1.8,0.46753246753246747,2.05
2023-01-04,False,lal,mia,112,109,0.24793388429752067,3.9,0.7520661157024793,1.2857142857142856
2023-01-04,False,gs,det,119,122,0.7023445463812437,1.3773584905660377,0.29765545361875634,3.25
2023-01-05,False,orl,mem,115,123,0.3207547169811321,3.0,0.6792452830188679,1.4166666666666667
2023-01-05,False,dal,bos,95,124,0.4201680672268907,2.3,0.5798319327731093,1.6666666666666665
2023-01-05,False,hou,utah,114,131,0.3020134228187919,3.2,0.6979865771812082,1.3846153846153846
2023-01-05,False,den,lac,122,91,0.638854296388543,1.526315789473684,0.36114570361145704,2.7
2023-01-06,False,ind,por,108,99,0.5324675324675325,1.8,0.46753246753246747,2.05
2023-01-06,False,tor,ny,108,112,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
2023-01-06,False,phi,chi,112,126,0.6470588235294118,1.5,0.3529411764705882,2.75
2023-01-06,False,mil,cha,109,138,0.7976878612716763,1.2173913043478262,0.20231213872832365,4.8
2023-01-06,False,sa,det,121,109,0.5108342361863489,1.8695652173913042,0.48916576381365107,1.9523809523809523
2023-01-06,False,okc,wsh,127,110,0.5217391304347826,1.8333333333333335,0.4782608695652174,2.0
2023-01-06,False,no,bkn,102,108,0.3812824956672444,2.55,0.6187175043327555,1.5714285714285714
2023-01-06,False,den,cle,121,108,0.6470588235294118,1.5,0.3529411764705882,2.75
