Month_Day,Home_Team,Away_Team,Home_Team_Wins,Home_FG,Home_FGA,Home_FG%,Home_3P,Home_3PA,Home_3P%,Home_2P,Home_2PA,Home_2P%,Home_FT,Home_FTA,Home_FT%,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PTS,Home_Season_W,Home_Season_L,Home_Season_Win_Pct,Home_Season_PTS_PG,Home_Season_Opp_PTS_PG,Home_ORtg,Home_DRtg,Home_NRtg,Home_Pace,Home_Eff_FG%,Home_True_Shooting_Pct,Away_Opp_FG,Away_Opp_FGA,Away_Opp_FG%,Away_Opp_3P,Away_Opp_3PA,Away_Opp_3P%,Away_Opp_2P,Away_Opp_2PA,Away_Opp_2P%,Away_Opp_FT,Away_Opp_FTA,Away_Opp_FT%,Away_Opp_ORB,Away_Opp_DRB,Away_Opp_TRB,Away_Opp_AST,Away_Opp_STL,Away_Opp_BLK,Away_Opp_TOV,Away_Opp_PTS,Away_Season_W,Away_Season_L,Away_Season_Win_Pct,Away_Season_PTS_PG,Away_Season_Opp_PTS_PG,Away_ORtg,Away_DRtg,Away_NRtg,Away_Pace,Away_Eff_FG%,Away_True_Shooting_Pct,Home_Season_Point_Diff,Away_Season_Point_Diff,Home_Offensive_Advantage,Away_Defensive_Advantage,Pace_Diff
"Mon,-Nov",Houston Rockets,Sacramento Kings,0,41.8,91.0,0.459,12.7,36.1,0.352,29.0,54.8,0.53,18.1,23.4,0.773,11.5,34.0,45.5,24.8,7.8,4.6,12.7,114.3,41,41,0.5,114.3,113.2,114.5,113.4,1.1,99.0,0.529,0.565,41.6,86.8,0.48,13.1,33.8,0.387,28.5,52.9,0.539,18.5,23.1,0.8,9.1,33.4,42.5,26.9,7.4,4.5,13.9,114.8,46,36,0.561,116.6,114.8,116.9,115.2,1.7,98.8,0.556,0.582,1.0999999999999943,1.7999999999999972,-0.7000000000000028,0.7000000000000028,0.20000000000000284
"Wed,-Nov",Charlotte Hornets,Washington Wizards,1,40.0,87.0,0.46,12.1,34.0,0.355,28.0,53.0,0.528,14.5,18.4,0.786,9.3,31.0,40.3,24.8,6.9,4.5,13.8,106.6,21,61,0.256,106.6,116.8,109.3,119.8,-10.5,97.3,0.529,0.56,46.1,92.9,0.496,12.3,33.9,0.362,33.8,59.0,0.573,18.6,24.0,0.777,12.1,36.8,48.9,29.0,8.0,6.0,14.0,123.0,15,67,0.183,113.7,123.0,110.5,119.6,-9.1,102.7,0.538,0.567,-10.200000000000003,-9.299999999999997,-10.299999999999997,10.299999999999997,-5.400000000000006
"Wed,-Nov",Sacramento Kings,Portland Trail Blazers,0,43.3,90.9,0.477,14.4,39.3,0.366,29.0,51.7,0.561,15.5,20.9,0.745,10.8,33.2,44.0,28.3,7.6,4.2,13.1,116.6,46,36,0.561,116.6,114.8,116.9,115.2,1.7,98.8,0.556,0.582,42.5,86.6,0.491,11.7,33.3,0.351,30.8,53.3,0.578,18.7,23.6,0.792,10.6,33.2,43.8,27.1,8.9,6.4,14.3,115.4,21,61,0.256,106.4,115.4,108.3,117.5,-9.2,97.2,0.503,0.539,1.7999999999999972,-9.0,-0.5999999999999943,0.5999999999999943,1.5999999999999943
"Fri,-Nov",Washington Wizards,Charlotte Hornets,1,43.0,91.4,0.47,12.4,35.5,0.348,30.6,55.8,0.548,15.4,20.2,0.764,9.2,31.9,41.1,27.9,7.6,5.1,14.0,113.7,15,67,0.183,113.7,123.0,110.5,119.6,-9.1,102.7,0.538,0.567,43.4,87.7,0.494,13.6,36.2,0.377,29.7,51.5,0.577,16.5,20.7,0.796,10.6,34.8,45.4,28.7,7.1,4.8,13.6,116.8,21,61,0.256,106.6,116.8,109.3,119.8,-10.5,97.3,0.529,0.56,-9.299999999999997,-10.200000000000003,-9.299999999999997,9.299999999999997,5.400000000000006
"Fri,-Nov",Memphis Grizzlies,Utah Jazz,1,38.4,88.2,0.435,13.1,37.8,0.346,25.3,50.4,0.502,16.0,21.0,0.764,10.9,31.7,42.6,24.7,8.2,6.1,15.1,105.8,27,55,0.329,105.8,112.8,107.2,114.3,-7.1,98.2,0.509,0.543,44.6,91.6,0.487,14.8,37.4,0.395,29.8,54.1,0.55,16.6,21.6,0.771,11.0,31.3,42.2,29.8,8.6,6.4,12.3,120.5,31,51,0.378,115.7,120.5,115.5,120.4,-4.9,99.5,0.539,0.579,-7.0,-4.799999999999997,-13.200000000000003,13.200000000000003,-1.2999999999999972
"Sun,-Nov",Brooklyn Nets,Washington Wizards,0,40.7,89.1,0.456,13.3,36.7,0.362,27.4,52.4,0.522,15.8,20.9,0.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,110.4,32,50,0.39,110.4,113.3,113.2,116.1,-2.9,96.9,0.531,0.561,46.1,92.9,0.496,12.3,33.9,0.362,33.8,59.0,0.573,18.6,24.0,0.777,12.1,36.8,48.9,29.0,8.0,6.0,14.0,123.0,15,67,0.183,113.7,123.0,110.5,119.6,-9.1,102.7,0.538,0.567,-2.8999999999999915,-9.299999999999997,-6.3999999999999915,6.3999999999999915,-5.799999999999997
"Sun,-Nov",Chicago Bulls,Detroit Pistons,0,42.0,89.5,0.47,11.5,32.1,0.358,30.6,57.4,0.532,16.7,21.1,0.791,11.2,32.6,43.8,25.0,7.8,4.8,12.2,112.3,39,43,0.476,112.3,113.7,114.9,116.3,-1.4,96.3,0.534,0.568,43.6,89.0,0.49,12.1,32.7,0.37,31.5,56.3,0.56,19.6,24.5,0.8,9.6,33.5,43.1,27.0,8.9,6.0,12.4,119.0,14,68,0.171,109.9,119.0,109.7,118.8,-9.1,99.8,0.526,0.562,-1.4000000000000057,-9.099999999999994,-3.8999999999999915,3.8999999999999915,-3.5
"Mon,-Nov",Toronto Raptors,Washington Wizards,0,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.7,28.5,7.7,4.7,14.0,112.4,25,57,0.305,112.4,118.8,112.3,118.8,-6.5,99.4,0.535,0.566,46.1,92.9,0.496,12.3,33.9,0.362,33.8,59.0,0.573,18.6,24.0,0.777,12.1,36.8,48.9,29.0,8.0,6.0,14.0,123.0,15,67,0.183,113.7,123.0,110.5,119.6,-9.1,102.7,0.538,0.567,-6.3999999999999915,-9.299999999999997,-7.299999999999997,7.299999999999997,-3.299999999999997
"Tue,-Nov",Detroit Pistons,Atlanta Hawks,1,40.9,88.2,0.463,11.0,31.7,0.348,29.8,56.5,0.528,17.0,21.7,0.785,10.5,32.8,43.3,25.5,6.5,4.7,15.2,109.9,14,68,0.171,109.9,119.0,109.7,118.8,-9.1,99.8,0.526,0.562,44.6,90.2,0.495,14.0,36.4,0.384,30.6,53.7,0.57,17.3,21.8,0.792,10.6,33.6,44.2,28.2,7.8,5.6,14.1,120.5,36,46,0.439,118.3,120.5,117.2,119.4,-2.2,100.1,0.539,0.576,-9.099999999999994,-2.200000000000003,-9.700000000000003,9.700000000000003,-0.29999999999999716
"Tue,-Nov",Utah Jazz,Portland Trail Blazers,0,42.0,89.9,0.467,12.9,36.5,0.354,29.1,53.4,0.544,18.8,22.6,0.83,12.2,33.2,45.5,27.2,6.5,5.6,15.7,115.7,31,51,0.378,115.7,120.5,115.5,120.4,-4.9,99.5,0.539,0.579,42.5,86.6,0.491,11.7,33.3,0.351,30.8,53.3,0.578,18.7,23.6,0.792,10.6,33.2,43.8,27.1,8.9,6.4,14.3,115.4,21,61,0.256,106.4,115.4,108.3,117.5,-9.2,97.2,0.503,0.539,-4.799999999999997,-9.0,-2.0,2.0,2.299999999999997
