season,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total,game_date
2024,2023-10-29,True,False,por,phi,98,126,28,32,21,17,0,36,30,33,27,0,home,9.5,216.5,,,,,1.0,1.0,2023-10-29
2024,2023-10-29,True,False,lal,sac,127,132,28,27,28,32,12,41,25,21,28,17,home,2.5,235.5,,,,,1.0,1.0,2023-10-29
2024,2023-10-29,True,False,den,okc,128,95,34,35,28,31,0,23,28,24,20,0,away,3.5,230.5,,,,,1.0,0.0,2023-10-29
2024,2023-10-29,True,False,atl,mil,127,110,31,37,33,26,0,25,22,33,30,0,home,6.5,238.5,,,,,0.0,0.0,2023-10-29
2024,2023-10-30,True,False,por,tor,99,91,21,26,33,19,0,25,25,24,17,0,home,9.5,216.5,,,,,0.0,0.0,2023-10-30
2024,2023-10-30,True,False,gs,no,130,102,29,30,39,32,0,27,30,21,24,0,home,2.5,220.5,,,,,0.0,1.0,2023-10-30
2024,2023-10-30,True,False,orl,lal,103,106,24,34,22,23,0,29,25,27,25,0,home,3.5,220.5,,,,,0.0,0.0,2023-10-30
2024,2023-10-30,True,False,mia,mil,114,122,28,24,21,41,0,28,34,35,25,0,home,7.5,225.5,,,,,1.0,1.0,2023-10-30
2024,2023-10-30,True,False,min,atl,113,127,42,37,19,15,0,35,25,38,29,0,away,2.5,229.5,,,,,0.0,1.0,2023-10-30
2024,2023-10-30,True,False,dal,mem,125,110,30,37,30,28,0,36,25,25,24,0,home,1.5,222.5,,,,,0.0,1.0,2023-10-30
2024,2023-10-30,True,False,bos,wsh,126,107,42,35,31,18,0,19,32,24,32,0,away,10.5,231.5,,,,,1.0,1.0,2023-10-30
2024,2023-10-30,True,False,det,okc,112,124,21,26,32,33,0,33,26,32,33,0,home,6.5,225.5,,,,,1.0,1.0,2023-10-30
2024,2023-10-30,True,False,bkn,cha,133,121,42,24,33,34,0,23,32,28,38,0,away,1.5,227.5,,,,,1.0,1.0,2023-10-30
2024,2023-10-30,True,False,utah,den,102,110,21,24,24,33,0,31,27,22,30,0,home,9.5,226.5,,,,,0.0,0.0,2023-10-30
2024,2023-10-30,True,False,chi,ind,112,105,27,26,25,34,0,30,25,28,22,0,home,3.5,229.5,,,,,0.0,0.0,2023-10-30
2024,2023-10-31,True,False,ny,cle,109,91,28,30,28,23,0,24,28,16,23,0,away,1.5,213.5,,,,,1.0,0.0,2023-10-31
2024,2023-10-31,True,False,orl,lac,102,118,18,32,21,31,0,13,34,41,30,0,home,6.5,220.5,,,,,1.0,0.0,2023-10-31
2024,2023-10-31,True,False,sa,phx,115,114,18,27,37,33,0,27,36,32,19,0,home,7.5,225.5,,,,,0.0,1.0,2023-10-31
2024,2023-11-01,True,False,cle,ny,95,89,24,25,22,24,0,22,28,13,26,0,home,5.5,210.5,,,,,0.0,0.0,2023-11-01
2024,2023-11-01,True,False,bkn,mia,109,105,29,17,29,34,0,32,24,27,22,0,home,6.5,223.5,,,,,0.0,0.0,2023-11-01
2024,2023-11-01,True,False,sac,gs,101,102,31,24,24,22,0,28,28,18,28,0,home,7.5,227.5,,,,,0.0,0.0,2023-11-01
2024,2023-11-01,True,False,wsh,atl,121,130,30,21,31,39,0,25,34,40,31,0,home,10.5,240.5,,,,,0.0,1.0,2023-11-01
2024,2023-11-01,True,False,lac,lal,125,130,37,24,24,32,8,24,24,39,30,13,home,3.5,227.5,,,,,1.0,1.0,2023-11-01
2024,2023-11-01,True,False,chi,dal,105,114,23,27,33,22,0,26,23,32,33,0,home,2.5,219.5,,,,,1.0,0.0,2023-11-01
2024,2023-11-01,True,False,mil,tor,111,130,18,26,35,32,0,31,35,29,35,0,away,4.5,223.5,,,,,0.0,1.0,2023-11-01
2024,2023-11-01,True,False,por,det,110,101,26,21,36,27,0,32,27,25,17,0,home,3.5,216.5,,,,,0.0,0.0,2023-11-01
2024,2023-11-01,True,False,den,min,89,110,21,23,28,17,0,28,35,26,21,0,away,2.5,220.5,,,,,0.0,0.0,2023-11-01
2024,2023-11-01,True,False,cha,hou,119,128,27,31,20,41,0,39,22,25,42,0,home,3.5,222.5,,,,,1.0,1.0,2023-11-01
2024,2023-11-01,True,False,no,okc,110,106,14,29,35,32,0,33,18,26,29,0,home,3.5,228.5,,,,,0.0,0.0,2023-11-01
2024,2023-11-01,True,False,mem,utah,109,133,19,27,33,30,0,42,37,25,29,0,home,2.5,225.5,,,,,1.0,1.0,2023-11-01
2024,2023-11-01,True,False,ind,bos,104,155,27,27,17,33,0,44,31,34,46,0,home,12.5,233.5,,,,,1.0,1.0,2023-11-01
2024,2023-11-02,True,False,det,no,116,125,29,20,34,33,0,35,37,22,31,0,home,4.5,215.5,,,,,1.0,1.0,2023-11-02
2024,2023-11-02,True,False,tor,phi,99,114,26,23,28,22,0,30,28,32,24,0,home,7.5,214.5,,,,,1.0,0.0,2023-11-02
2024,2023-11-02,True,False,sa,phx,132,121,39,36,28,29,0,20,35,34,32,0,home,10.5,229.5,,,,,0.0,1.0,2023-11-02
